property_type,neighbourhood,city,gps_lat,gps_lon,infra_zone,length_m,width_m,area_m2,num_bedrooms,num_bathrooms,floor_level,shared_wc,has_parking,has_generator,has_water_meter,fiber_internet,security_gate,standby_power_kva,road_frontage_m,shopfront_quality,loading_bay,near_school,near_market,near_hospital,near_highway,near_university,structural_quality,condition_score,build_year,flood_risk,noise_level,title_type,advance_months,estimated_rent
apartment,nlongkak,yaounde,3.866974,11.505942,V,13.0,7.0,91.0,4,2,1,0,0,1,1,1,0,0.0,0.0,0,0,0,1,0,1,0,9,4,2012,0,1,none,6,182500
apartment,logpom,douala,4.076543,9.72183,IV,7.0,7.0,49.0,5,1,2,0,0,0,1,0,1,0.0,0.0,0,0,0,1,0,0,1,3,6,2015,0,9,occupation,3,154000
house,cite_sic,douala,4.066649,9.727052,IV,9.0,15.0,135.0,3,2,0,0,1,1,1,1,1,0.0,0.0,0,0,1,1,0,0,0,9,10,1985,0,10,foncier,6,241000
house,ndogpassi,douala,4.09057,9.747839,IV,10.0,10.0,100.0,3,3,0,0,0,1,1,0,1,0.0,0.0,0,0,0,1,0,0,0,8,8,2006,0,10,foncier,1,185500
land,melen,yaounde,3.914692,11.542788,IV,55.0,26.0,1430.0,0,0,0,0,1,1,1,0,0,0.0,0.0,0,0,1,0,1,1,1,5,8,1996,0,2,occupation,3,201000
house,logpom,douala,4.078299,9.716445,II,12.0,7.0,84.0,4,1,0,0,0,1,0,1,1,0.0,0.0,0,0,1,0,0,0,1,6,4,2003,0,9,occupation,2,224000
house,ndogpassi,douala,4.093962,9.741402,III,13.0,9.0,117.0,2,2,0,0,1,1,0,1,0,0.0,0.0,0,0,0,1,0,1,1,9,10,1990,1,7,occupation,3,218500
house,nyalla,douala,4.099351,9.764924,V,20.0,11.0,220.0,4,3,0,0,0,1,1,0,0,0.0,0.0,0,0,1,0,1,0,0,3,3,2016,0,8,occupation,2,168500
office,ngousso,yaounde,3.895007,11.531439,I,13.0,9.0,117.0,0,1,3,0,0,1,1,1,1,20.0,19.0,2,0,1,1,0,0,1,4,3,1994,0,2,occupation,3,719000
store,ekounou,yaounde,3.810552,11.55134,II,11.0,12.0,132.0,0,0,0,0,1,1,1,1,1,0.0,3.0,3,0,0,1,1,0,0,9,9,2005,1,8,occupation,3,293000
shop,nlongkak,yaounde,3.862478,11.507367,IV,10.0,4.0,40.0,0,0,0,0,1,0,1,1,0,0.0,10.0,5,0,1,0,0,0,0,4,7,1976,0,2,foncier,2,324000
apartment,ekounou,yaounde,3.810045,11.55375,IV,12.0,10.0,120.0,2,1,1,0,1,0,0,0,1,0.0,0.0,0,0,0,1,0,1,0,5,9,2017,1,3,none,6,151000
office,akwa,douala,4.048361,9.700142,IV,21.0,16.0,336.0,0,1,2,0,0,0,1,0,0,0.0,5.0,3,0,0,0,0,1,0,4,9,2022,1,9,occupation,3,856500
